# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "pdam_1415_maker.gtf" "-o" "feature_counts.out" "-t" "exon" "-g" "gene_id" "Wt1-1a_1415.bam" "Wt1-1b_1415.bam" "Wt1-1c_1415.bam" "Wt1-2a_1415.bam" "Wt1-2b_1415.bam" "Wt1-3a_1415.bam" "Wt1-3b_1415.bam" "Wt1-3c_1415.bam" "Wt1-4a_1415.bam" "Wt1-4b_1415.bam" "Wt1-4c_1415.bam" "Wt1-5a_1415.bam" "Wt1-5b_1415.bam" "Wt1-5c_1415.bam" "Wt1-6b_1415.bam" "Wt1-6c_1415.bam" "Wt2-1a_1415.bam" "Wt2-1b_1415.bam" "Wt2-1c_1415.bam" "Wt2-2b_1415.bam" "Wt2-2c_1415.bam" "Wt2-3a_1415.bam" "Wt2-3b_1415.bam" "Wt2-3c_1415.bam" "Wt2-4a_1415.bam" "Wt2-5a_1415.bam" "Wt2-5b_1415.bam" "Wt2-5c_1415.bam" "Wt2-6a_1415.bam" "Wt2-6b_1415.bam" "Wt2-6c_1415.bam" 
Geneid	Chr	Start	End	Strand	Length	Wt1-1a_1415.bam	Wt1-1b_1415.bam	Wt1-1c_1415.bam	Wt1-2a_1415.bam	Wt1-2b_1415.bam	Wt1-3a_1415.bam	Wt1-3b_1415.bam	Wt1-3c_1415.bam	Wt1-4a_1415.bam	Wt1-4b_1415.bam	Wt1-4c_1415.bam	Wt1-5a_1415.bam	Wt1-5b_1415.bam	Wt1-5c_1415.bam	Wt1-6b_1415.bam	Wt1-6c_1415.bam	Wt2-1a_1415.bam	Wt2-1b_1415.bam	Wt2-1c_1415.bam	Wt2-2b_1415.bam	Wt2-2c_1415.bam	Wt2-3a_1415.bam	Wt2-3b_1415.bam	Wt2-3c_1415.bam	Wt2-4a_1415.bam	Wt2-5a_1415.bam	Wt2-5b_1415.bam	Wt2-5c_1415.bam	Wt2-6a_1415.bam	Wt2-6b_1415.bam	Wt2-6c_1415.bam
pdam_00000257	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	103960;106722;107542	104075;106956;107650	+;+;+	460	146	87	143	70	197	59	112	107	52	68	53	79	210	155	182	224	284	202	97	13	92	95	93	102	69	264	213	107	214	149	171
pdam_00000258	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	110665;111902;112316;113939;114677;115242;115447;115791;116504;117468;117812;118520;118831;119403;120122;120338;121924;122780;123366	110853;112006;112358;114014;114721;115294;115520;115837;116594;117556;117875;118617;119116;119740;120187;120503;122271;122893;123464	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2391	745	586	858	266	827	353	432	519	544	351	384	399	860	847	723	916	1061	733	597	66	780	419	478	465	389	777	753	458	1142	795	735
pdam_00000259	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	135405;136465;137173;138253;140178	135671;136652;137724;138309;140451	-;-;-;-;-	1338	114	107	140	70	114	90	92	102	96	91	94	111	194	179	165	161	270	132	148	18	128	72	116	101	111	168	148	85	193	205	191
pdam_00000260	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	141870;142790;143379;143559;143790;144014;144329;144605;144963;145650	142302;143008;143430;143650;143874;144075;144475;144669;145107;145886	-;-;-;-;-;-;-;-;-;-	1537	245	337	490	295	355	489	665	859	175	424	380	614	1134	824	1180	1200	1469	536	886	73	194	925	1130	838	969	957	1130	1000	1589	1627	1622
pdam_00000261	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	146127;146890;148154;149005;149394;149957;150251;150454;150847	146335;148124;148704;149093;149513;150063;150330;150542;150876	-;-;-;-;-;-;-;-;-	2510	305	285	311	230	222	359	464	334	212	280	284	422	653	612	706	817	675	368	405	34	221	321	382	398	331	711	658	345	665	514	561
pdam_00000262	SczhEnG_1415;SczhEnG_1415	146137;146962	146408;147230	+;+	541	31	21	33	16	27	25	14	49	24	16	19	25	51	26	71	57	49	25	26	4	33	29	25	17	26	36	58	25	43	35	58
pdam_00000263	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	152029;152395;152956	152215;152598;153341	+;+;+	777	1	1	4	2	1	4	3	4	5	7	3	4	8	3	7	3	9	6	3	0	1	0	4	4	3	7	7	0	8	2	6
pdam_00000264	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	153441;153749;155096;155625;156010;156307;156643;156980;157834;158250;158598;159166;160484	153488;153949;155306;155749;156135;156492;156745;157102;157979;158324;158705;159860;160751	-;-;-;-;-;-;-;-;-;-;-;-;-	2415	40	31	46	34	53	62	140	64	30	46	41	48	71	87	69	170	101	68	65	6	22	70	56	91	46	146	89	66	119	102	73
pdam_00000265	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	164849;165029;165303	164956;165197;165313	-;-;-	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pdam_00000266	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	165562;165758;165926;166058;166366	165570;165908;166036;166160;166435	+;+;+;+;+	444	1	0	0	0	1	0	0	0	0	2	1	0	0	2	3	0	1	1	0	0	0	2	0	0	0	1	1	0	1	1	1
pdam_00000267	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	171824;172101;174250;175056;175502	171990;172179;174290;175201;175524	+;+;+;+;+	456	4	10	3	2	13	1	4	1	5	3	3	5	3	8	3	8	9	15	4	2	4	0	3	3	6	6	0	2	8	5	7
pdam_00000268	SczhEnG_1415	175944	176909	+	966	27	26	23	6	57	8	14	6	23	17	12	18	24	31	16	40	35	50	16	2	26	5	13	16	9	36	29	9	37	14	24
pdam_00000269	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	177060;179577;180762	178740;180043;181677	+;+;+	3064	416	341	456	228	382	107	218	82	275	271	245	227	289	337	269	373	625	474	210	25	163	87	181	177	236	494	304	137	357	184	252
pdam_00000270	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	182890;183562;184056;184272;186341	183171;183636;184186;185887;186657	-;-;-;-;-	2421	74	124	87	101	170	143	154	230	99	121	187	138	225	253	240	226	222	109	216	15	84	95	115	102	143	194	256	137	270	207	186
pdam_00000271	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	188662;190745;193479	188782;191202;195311	+;+;+	2412	341	434	297	228	246	513	441	282	485	444	640	585	659	821	848	834	809	407	411	33	297	431	572	395	370	777	542	539	941	716	616
pdam_00000272	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	201451;202006;205178;206193;206752;207955;208462;209188;209659;210615;211932;212174;212517;213576;214864;216308	201611;202103;205200;206244;206846;208030;208571;209260;209698;210636;212024;212237;212556;213588;215106;216475	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1371	90	93	104	48	49	59	66	31	47	52	70	54	100	106	87	110	103	108	83	14	38	18	61	63	70	124	75	24	125	71	79
pdam_00000273	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	210165;211787;212644;213332;214239;215047;215386;215666;216067;217392;218064	211274;211838;212722;213423;214356;215174;215430;215692;216748;217496;219012	-;-;-;-;-;-;-;-;-;-;-	3387	229	196	250	124	69	135	151	78	150	145	194	144	309	240	234	231	301	173	120	16	99	54	136	116	162	242	171	68	223	168	158
pdam_00000274	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	216676;217394;218064;218929;219527;220430	216750;217496;218103;219012;219603;220581	+;+;+;+;+;+	531	27	16	25	12	21	14	26	35	17	22	18	24	45	36	33	57	37	16	24	0	28	14	23	18	21	26	39	25	53	46	38
pdam_00000275	SczhEnG_1415;SczhEnG_1415	228451;230251	229825;231709	-;-	2834	225	284	222	171	234	212	220	354	223	278	357	340	563	484	712	676	568	199	339	11	250	272	349	361	409	397	504	296	808	658	744
pdam_00000276	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	232391;232727;236014;236646;236953;237303;237770;238165;238772;239201;239374;240005;240464;241083;241803;242579;243007;243265;244006;244323	232653;232824;236067;236752;237013;237448;237825;238240;238829;239262;239390;240103;240557;241145;241925;242660;243032;243333;244063;244480	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1770	115	116	137	61	156	119	142	209	134	147	170	137	257	291	259	340	299	138	125	7	59	111	152	204	167	223	294	143	331	268	256
pdam_00000277	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	244928;245057;245938	244980;245229;248139	+;+;+	2428	152	187	195	106	96	145	154	188	150	218	308	171	347	328	322	353	367	154	122	9	106	76	149	118	187	259	287	94	328	246	246
pdam_00000278	SczhEnG_1415	247291	248469	-	1179	0	0	1	0	0	0	2	1	1	2	2	3	5	2	0	3	2	2	1	0	0	2	0	1	0	4	1	3	1	3	1
pdam_00000279	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	249436;249754;250458;251364;251650;252251;252778;253119;253781;254038;254833;255570;256284;256975	249660;249895;250480;251526;251737;252351;252806;253288;253812;254168;254963;255622;256487;257844	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2362	529	477	476	341	581	367	370	602	316	291	436	408	887	774	763	724	1190	604	676	50	423	440	513	366	554	727	972	475	956	718	831
pdam_00000280	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	257991;258526;258746;259840;260295;260937;261681;262031;262483;263315;265543	258412;258659;258831;259957;260363;261170;261746;262112;262736;265516;265998	+;+;+;+;+;+;+;+;+;+;+	4123	1414	1365	1502	1051	1115	969	1080	841	1246	1064	1414	1088	2143	2055	1852	1934	2734	1528	1102	121	985	819	1162	930	1247	2107	1781	938	2064	1400	1582
pdam_00000281	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	266448;268136;268327;269298	267849;268251;268500;269590	-;-;-;-	1985	81	71	73	28	62	30	47	42	50	37	70	50	84	99	78	84	100	82	46	2	49	35	34	15	53	79	99	42	84	74	45
pdam_00000282	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	269673;269833;270414;271807	269757;269957;270546;272202	+;+;+;+	739	53	42	58	32	61	48	78	62	47	49	51	52	103	106	150	144	160	79	63	6	52	125	56	62	32	126	104	135	118	113	113
pdam_00000283	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	273580;274947;275558;276660;278208;279621;280078;280601;281043;281260;281433;281890;282565;283199;284252;284849	273732;275082;275734;276761;278263;279751;280160;280788;281108;281325;281567;282003;282716;283319;284525;285405	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2511	1	2	2	2	0	0	4	1	1	0	1	3	4	3	4	4	2	1	3	0	3	3	4	5	5	5	1	4	9	2	10
pdam_00000284	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	286623;288119;289009;289374;290919;291073;291954;292424;292871;293419;294152;294785;295340;296030;296918;297806;298205;298627;298930	287284;288392;289129;289642;290984;291138;292141;292506;292998;293474;294299;294858;295441;296203;296965;297887;298606;298903;299269	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3560	20	16	18	5	15	18	38	17	10	18	10	37	83	45	85	36	148	39	18	3	14	25	84	106	87	94	55	36	174	98	160
pdam_00000285	SczhEnG_1415	313988	315061	-	1074	55	42	65	35	29	89	33	44	56	33	41	68	77	107	65	105	114	29	94	2	173	34	77	49	48	62	80	55	90	114	92
pdam_00000286	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	323404;324700;332127;332364;332530;332708;332991;335751;336339;337036;337561;337679;340166;340963;341702;342228	323414;327827;332230;332483;332685;332857;333050;335894;336561;337179;337592;338119;340426;341076;341805;342417	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5382	451	280	456	186	531	225	342	317	373	261	269	273	534	503	418	611	913	556	369	67	389	301	335	321	281	710	612	333	754	632	576
pdam_00000287	SczhEnG_1415	338273	339346	+	1074	27	18	29	9	19	16	11	16	9	17	14	11	32	38	33	39	51	20	23	4	4	20	17	13	22	34	28	27	34	32	37
pdam_00000288	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	342415;342697;343526;344996;345578	342450;342792;343698;345124;345709	+;+;+;+;+	566	444	388	440	244	445	254	276	496	280	251	335	428	669	440	735	631	909	492	637	42	429	383	309	304	421	495	771	441	714	651	748
pdam_00000289	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	346393;347031;347412;348083	346650;347360;347454;348267	-;-;-;-	816	75	76	73	49	65	54	58	80	73	71	80	56	104	102	137	141	145	84	62	7	20	44	61	45	67	97	120	52	151	101	104
pdam_00000290	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	348860;349209;350116;350911;358522	348998;349317;350170;351260;358600	-;-;-;-;-	732	1	3	2	0	0	1	0	1	3	4	7	0	5	4	3	1	2	0	1	0	0	1	0	1	1	0	2	3	1	0	1
pdam_00000291	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	349061;350914;351563;352436;352601;356253;356932;357163;357597;358413	349785;351405;351641;352467;352635;356449;357027;357311;357642;359684	+;+;+;+;+;+;+;+;+;+	3123	647	544	568	280	310	336	302	303	395	293	416	419	900	659	812	593	1062	592	527	52	358	375	387	292	464	583	665	432	678	449	681
pdam_00000292	SczhEnG_1415	362703	363869	+	1167	0	0	0	0	1	0	1	1	0	2	2	0	2	1	0	3	5	3	0	0	0	0	1	2	2	2	0	0	3	2	5
pdam_00000293	SczhEnG_1415	368546	369637	+	1092	21	27	23	11	11	29	31	17	24	28	21	34	34	42	25	46	38	31	22	1	5	25	36	30	30	58	35	36	47	35	32
pdam_00000294	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	372666;373064;373494;374180	372742;373118;373687;374402	-;-;-;-	549	87	61	85	39	85	38	46	68	44	35	42	64	109	87	126	105	162	96	83	4	79	78	45	45	53	98	108	83	97	106	81
pdam_00000295	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	374498;374720;375096;375500;375789;376662;377497	374590;374785;375169;375593;375984;376752;377608	+;+;+;+;+;+;+	726	61	49	69	28	46	43	39	46	38	36	37	39	76	82	81	96	117	61	52	5	78	56	63	63	46	69	85	65	106	90	83
pdam_00000296	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	379586;381103;381434;382233;382874;383600	380574;381230;381541;382349;382948;383665	-;-;-;-;-;-	1483	1460	1158	1375	774	967	961	1217	1108	851	767	866	840	2182	1788	2063	1804	2596	1473	1145	121	783	1165	1033	885	841	1951	2003	1284	1705	1276	1446
pdam_00000297	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	383748;384929;385816;386056;386269;386502;387220;387848;388513;389297;389676;389937;390278;390481;390825	384034;385133;385882;386111;386340;386521;387279;387944;388652;389374;389739;390015;390331;390511;391990	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2476	298	332	360	209	254	284	376	207	268	334	380	288	599	553	501	506	839	450	281	27	149	261	359	373	382	603	443	265	610	407	523
pdam_00000298	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	392754;393558;393807;394246;394818;395557;395737;396351;396583;396709	392972;393684;393886;394360;394910;395620;395799;396451;396615;396784	-;-;-;-;-;-;-;-;-;-	971	948	745	949	615	893	664	588	1076	694	695	801	833	1210	1309	1336	1376	1674	727	688	85	924	430	687	635	827	1121	1506	479	1319	1088	1167
pdam_00000299	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	398757;402668;403467	402108;402728;403649	-;-;-	3596	419	292	450	169	391	290	294	378	328	295	296	347	451	609	481	659	733	500	432	43	442	220	403	409	360	520	602	238	785	518	520
pdam_00000300	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	403627;406049;406965;408637	403988;406465;407172;410467	+;+;+;+	2818	209	218	239	142	194	160	208	171	180	140	189	179	322	313	227	284	401	261	190	24	179	180	194	158	198	322	293	200	324	204	291
pdam_00000301	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	415230;417212;417647	416728;417295;418054	+;+;+	1991	17	10	6	3	17	4	23	13	6	42	21	8	55	37	26	84	54	59	3	9	2	52	58	44	17	100	31	57	106	58	93
pdam_00000302	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	419728;419895;420759;421439;422163;423351;424130;424689;424995;425631	419805;419954;420865;421482;422282;423428;424225;424766;425025;426414	+;+;+;+;+;+;+;+;+;+	1476	106	130	129	72	116	80	67	126	78	85	105	102	164	168	163	163	218	122	135	10	101	71	100	80	107	125	226	92	193	143	145
pdam_00000303	SczhEnG_1415	429495	429923	+	429	181	161	153	57	164	71	112	92	93	47	82	101	217	181	183	183	308	207	166	17	123	55	96	90	108	172	150	96	195	142	150
pdam_00000304	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	434816;435510;440690;441184;441728;442119;442728;443176;443656;444406;445196	435371;435725;440806;441330;441811;442235;442970;443379;443912;444538;446694	+;+;+;+;+;+;+;+;+;+;+	3573	3299	2008	2488	1021	1869	1094	852	1005	2609	973	1557	1819	2968	2310	3754	2794	3240	1700	2562	243	2688	1278	1203	1126	1486	1711	2552	1657	2279	2360	2209
pdam_00000305	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	452662;453509;453980	452880;453616;454213	-;-;-	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
